,,,,,,,,,,,,,,,,,,,,,,,,,,
,Información General,,,,,,,,,,,,,,,,,,,,,,,,,
 ,FECHA,SEMANA,DÍA,PROFESOR,,,,,,,,,,,,,,,,,,,,,,
,22/12/2025,19,Lunes,Ignacio Bordon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Planificación por Nivel,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alfa y Delta,,,,,,,Sigma,,,,,,,Omega,,,,,,,,,,,
,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,,,,,,
,19,Lunes,FL,DS,HSPU,PS,,19,Lunes,FL,OAP,DS,HT,,19,Lunes,FL,OAP,HSPU,MN/RP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruta,Intensidad,Patrón Activo,,,Intensidad,Reps por Bloque,Dificultad,Ejercicios por Bloque,,Intensidad,Total Ejercicios,Concentrico,Excentrico,Isometrico,,,,,,,,,,,
delta,Deuteros 1,delta,,,,,,,,,,,,,,,,,,,,,,,,
sigma,Deuteros 1,sigma,,PULL,PULL VERTICAL,,1,CON.,PL.UP WIDE TYPEWRITER,,,,8,,,,,,,,1.67,,,,,
sigma,Deuteros 1,delta,,PULL,,,3,EXC.,ROW OA HORIZONTAL,,,,12,,,,,,,,,,,,,
sigma,Deuteros 1,sigma,,PULL,,,1,ISO.,PL.UP L-SIT MID  ARCHER,,,,,,"20""",,,,,,,,,,,
sigma,Deuteros 1,sigma,,,,,,,,,,,,,,,,,,,,,,,,
sigma,Deuteros 1,sigma,,,,,,,,,,,,,,,,,,,,,,,,
sigma,Deuteros 1,sigma,,,,,,,,,,,,,,,,,,,,,,,,
omega,Deuteros 1,omega,,PULL,PULL VERTICAL,,1,CON.,OAP ASSISTED FINGERS,,,,12,,,,,,,,1.33,,,,,
omega,Deuteros 1,sigma,,PULL,,,2,EXC.,OAC ASSISTED ,,,,8,,,,,,,,,,,,,
omega,Deuteros 1,omega,,PULL,,,1,ISO.,OAP MID ASSISTED FINGERS,,,,,,"20"" ",,,,,,,,,,,
omega,Deuteros 1,omega,,,,,,,,,,,,,,,,,,,,,,,,
omega,Deuteros 1,omega,,,,,,,,,,,,,,,,,,,,,,,,
omega,Deuteros 1,,,MOVILIDAD,,,,,KNEE PIGEON STRETCH ,,,,,,"20"" ",,,,,,,,,,,
alfa,Deuteros 2,delta,HSPU,,,,1,CON.,P.U PIKE,,,,3,,,,Singlet,4,,,1.33,,,,,
alfa,Deuteros 2,delta,HSPU,,,,1,ISO.,BOX P.U 90 PIKE,,,,,,8'',,,,,,,,,,,
alfa,Deuteros 2,delta,HSPU,,,,2,EXC.,HSPU WIDE WALL ,,,,2,,,,,,,,,,,,,
alfa,Deuteros 2,alfa,,,,,,,,,,,,,,,,,,,,,,,,
alfa,Deuteros 2,alfa,,,,,,,,,,,,,,,,,,,,,,,,
alfa,Deuteros 2,alfa,,,,,,,,,,,,,,,,,,,,,,,,
delta,Deuteros 2,sigma,HSPU,,,,1,EXC.,HSPU TO 90 TUCK  WALL ,,,,2,,,,,,,,1.00,,,,,
delta,Deuteros 2,sigma,HSPU,,,,1,CON.,HSPU WALL ,,,,4,,,,,,,,,,,,,
delta,Deuteros 2,sigma,HSPU,PUSH,,,1,ISO.,HSPU 90 WALL ,,,,,,8'',,,,,,,,,,,
delta,Deuteros 2,delta,,,,,,,,,,,,,,,,,,,,,,,,
delta,Deuteros 2,delta,,,,,,,,,,,,,,,,,,,,,,,,
delta,Deuteros 2,delta,,,,,,,,,,,,,,,,,,,,,,,,
sigma,Deuteros 2,omega,,,,,,,,,,,,,,,,,,,1.00,,,,,
sigma,Deuteros 2,omega,,,,,,,,,,,,,,,,,,,,,,,,
sigma,Deuteros 2,omega,HSPU,,,,1,CON.,HSPU TO 90 TUCK WALL ,,,,3,,,,,,,,,,,,,
sigma,Deuteros 2,delta,,,,,,,,,,,,,,,,,,,,,,,,
sigma,Deuteros 2,omega,HSPU,,,,1,CON.,HSPU DEFICIT WALL ,,,,4,,,,,,,,,,,,,
sigma,Deuteros 2,omega,HSPU,,,,1,EXC.,HSPU TO 90 STR  FREE,,,,2,,,,,,,,,,,,,
omega,Deuteros 2,spartan,HSPU,,,,1,CON.,HSPU ARCHER WALL ,,,,4,,,,,,,,1.00,,,,,
omega,Deuteros 2,spartan,HSPU,,,,1,CON.,HSPU TO 90 FULL FREE,,,,3,,,,,,,,,,,,,
omega,Deuteros 2,spartan,PLPU,,,,1,EXC.,PLPU ASSISTED FULL,,,,2,,,,,,,,,,,,,
omega,Deuteros 2,omega,,,,,,,,,,,,,,,,,,,,,,,,
