,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nucleus,delta,• ICM FULL CON.,3,,,,,,,,,,,,,,Nucleus,alfa,• PSU FULL ROM  ISO.,"6""",,,,,,,,,,,,,,Nucleus,delta,• PLPU ADV TUCK CON.,6,,,,,,,,,,,,,,Nucleus,alfa,• BOAT STR ISO.,,"20"" • 30"" • 20""",,,,,,,,,,,,,Nucleus,sigma,• MUSCLE UP  RINGS,20,2 • 1 • 3 • 1,,,,,,,,,,,,,Nucleus,delta,• L-SIT   ISO.,"20""",,,,,,,,,,,,
,,,Nucleus,delta,• FL PRESS STRADDLE EXC.,2,,,,,,,,,,,,,,Nucleus,delta,• LUNGE STEP UP W  CON.,4,,,,,,,,,,,,,,Nucleus,delta,• MALTESE TUCK PL  ISO.,"20""",,,,,,,,,,,,,,Nucleus,delta,• ELBOW VICTORIAN  TUCK CON.,,10 • 12 • 10,,,,,,,,,,,,,Nucleus,sigma,• ROW FRONT PIKE,10,3 • 1 • 2 • 1,,,,,,,,,,,,,Nucleus,delta,• GENTLEMAN TO PLEGADO CON.,12 • 16,,,,,,,,,,,,
,,,Nucleus,sigma,• ELBOW VICTORIAN  SUPER ADV ISO.,"6''""",,,,,,,,,,,,,,Nucleus,delta,• STEP UP SIDE W  EXC.,4,,,,,,,,,,,,,,Nucleus,sigma,• SHRIMP SQUAT W  EXC.,20,,,,,,,,,,,,,,Nucleus,delta,• ROW OA HORIZONTAL EXC.,,10 • 12 • 10,,,,,,,,,,,,,Nucleus,sigma,• PL.UP L-SIT ARCHER ,10,3 • 1 • 2 • 1,,,,,,,,,,,,,Nucleus,delta,• ELEPHANT WALK   CON.,20 • 30,,,,,,,,,,,,
,,,Nucleus,sigma,• FL PRESS  FULL EXC.,2,,,,,,,,,,,,,,Nucleus,delta,• PSU FULL ROM W   ISO.,"6""",,,,,,,,,,,,,,Nucleus,sigma,• LUNGE JUMP SCISSOR   CON.,30,,,,,,,,,,,,,,Nucleus,delta,• PL.UP TOP L-SIT ISO.,,"20"" • 30"" • 20""",,,,,,,,,,,,,Nucleus,omega,• ELBOW VICTORIAN  STR,15,2 • 1 • 3 • 1,,,,,,,,,,,,,Nucleus,sigma,• SISSY SQ   EXC.,8 • 12,,,,,,,,,,,,
,,,Nucleus,sigma,• DP  SUPER ADV CON.,3,,,,,,,,,,,,,,Nucleus,sigma,• HSPU TO 90 STR  FREE EXC.,4,,,,,,,,,,,,,,Nucleus,sigma,• PSU FULL ROM W   ISO.,"60""",,,,,,,,,,,,,,Nucleus,sigma,• SISSY SQ OL  EXC.,,2 • 4 • 2,,,,,,,,,,,,,Nucleus,omega,• ROW FRONT  STRADDLE,15,3 • 1 • 2 • 1,,,,,,,,,,,,,Nucleus,sigma,• WARRIOR SPAGAT STRETCH  ISO.,"30""",,,,,,,,,,,,
,,,Nucleus,omega,• FL WIDE PRESS FULL EXC.,3,,,,,,,,,,,,,,Nucleus,sigma,• PIKE PRESS P-BARS ISO.,"10""",,,,,,,,,,,,,,Nucleus,omega,• PLPU CASETA EXC.,30,,,,,,,,,,,,,,Nucleus,sigma,• PS TEMPO W  CON.,,2 • 4 • 2,,,,,,,,,,,,,Nucleus,omega,• ROW OA DECLINED,20,3 • 1 • 2 • 1,,,,,,,,,,,,,Nucleus,sigma,• GOOSE WALK   CON.,20 • 30,,,,,,,,,,,,
,,,Nucleus,omega,• ELBOW VICTORIAN  FULL CON.,2,,,,,,,,,,,,,,Nucleus,omega,• SISSY SQ OL ASIST EXC.,12,,,,,,,,,,,,,,Nucleus,omega,• SWING TO SUPER ADV PL   CON.,40,,,,,,,,,,,,,,Nucleus,sigma,• SISSY SQ OL ASIST ISO.,,"6"" • 8"" • 6""",,,,,,,,,,,,,Nucleus,omega,• COUCH STRETCH ,"20""",,,,,,,,,,,,,,Nucleus,omega,• PS W ISO  ISO.,"20""",,,,,,,,,,,,
,,,Nucleus,omega,• FL WIDE FULL ISO.,"6''""",,,,,,,,,,,,,,Nucleus,omega,• PS TEMPO W  EXC.,12,,,,,,,,,,,,,,Nucleus,omega,• SUPER ADV PL   ISO.,"100""",,,,,,,,,,,,,,Nucleus,omega,• HT SLIDE OL RING  EXC.,,2 • 4 • 2,,,,,,,,,,,,,Deuteros 1,alfa,• NEUTRAL DIP RINGS,10,,Cluster,,,,,,,,,,,,Nucleus,omega,• SPAGAT STRENGTH   ISO.,"20""",,,,,,,,,,,,
,,,Nucleus,omega,• DIAGONAL STRETCH  ,"20""",,,,,,,,,,,,,,Nucleus,omega,• NC OL   ISO.,"30""",,,,,,,,,,,,,,Nucleus,omega,• SKIN THE CAT,8,,,,,,,,,,,,,,Nucleus,omega,• HT EXP OL  CON.,,2 • 4 • 2,,,,,,,,,,,,,Deuteros 1,alfa,• PL LEAN ,"20""",,,,,,,,,,,,,,Nucleus,omega,• COSSACK WALK W  CON.,20 • 24,,,,,,,,,,,,
,,,Deuteros 1,alfa,• DS  FULL ROM  EXC.,10,,Singlet,4,,,,,,,,,,,Nucleus,omega,• COUCH STRETCH KNEE SPAGAT ,"20""",,,,,,,,,,,,,,Deuteros 1,alfa,• LUNGE   EXC.,6 • 10,,AMRAP Series,3,4`,,,,,,,,,,Nucleus,omega,• NC OL   ISO.,,"6"" • 8"" • 6""",,,,,,,,,,,,,Deuteros 1,delta,• P.U PELICAN INCLINED,10,,,,,,,,,,,,,,Deuteros 1,alfa,• HT ON BOX OL   EXC.,30,,Accumulate X,,,,,,,,,,
,,,Deuteros 1,alfa,• PS PARCIAL   CON.,12,,,,,,,,,,,,,,Deuteros 1,alfa,• TTB PIKE TO TUCK EXC.,,1 • 2 • 3,Ladder corta,,,,,,,,,,,,Deuteros 1,alfa,• HINDU SQ   CON.,8 • 12,,,,,,,,,,,,,,Nucleus,omega,• ELBOW BRIDGE ,10,,,,,,,,,,,,,,Deuteros 1,delta,• SUPER ADV PL  ,"20""",,,,,,,,,,,,,,Deuteros 1,alfa,• GENTLEMAN  ISO.,"100""",,,,,,,,,,,,
