,LÓGICA INTERNA:,,,,,,,,,,,,,,,,,,,,
,Copio lunes a viernes y pego martes a sabado,,,,,,,,,,,,,,,,,,,,
,Copio sabado y pego en lunes,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Alfa y Delta,,,,,,,Sigma,,,,,,,Omega,,,,,,
,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,,Semana,Día,Nucleus,Deuteros 1,Deuteros 2,Athlos/Epikos,
,12,Lunes,SS,OAPU,SU,TTB,Rotación,12,Lunes,PS,SS,HSPU,PL,Rotación,12,Lunes,SU,L,QC,PS,Rotación
,12,Martes,L,NC,PL,OAP,,12,Martes,TTB,OAR,L,SU,,12,Martes,TTB,BL,PLPU,PHS,
,12,Miércoles,HT,SU,FLR,PHS,,12,Miércoles,PHS,OAPU,SU,NC,,12,Miércoles,SS,HT,HT,NC,
,12,Jueves,HT,FLR,SU,PHS,,12,Jueves,HT,NC,MU,MN/RP,,12,Jueves,OAPU,HS,FLR,MU,
,12,Viernes,QC,HS,MN/RP,HT,,12,Viernes,PLPU,BL,QC,PS,,12,Viernes,DS,NC,SU,QC,
,12,Sábado,DS,PS,FL,HSPU,,12,Sábado,DS,HT,FL,OAP,,12,Sábado,HSPU,MN/RP,FL,OAP,
,13,Lunes,DS,PS,FL,HSPU,,13,Lunes,DS,HT,FL,OAP,,13,Lunes,HSPU,MN/RP,FL,OAP,
,13,Martes,SS,OAPU,SU,TTB,,13,Martes,PS,SS,HSPU,PL,,13,Martes,SU,L,QC,PS,
,13,Miércoles,L,NC,PL,OAP,,13,Miércoles,TTB,OAR,L,SU,,13,Miércoles,TTB,BL,PLPU,PHS,
,13,Jueves,HT,SU,FLR,PHS,,13,Jueves,PHS,OAPU,SU,NC,,13,Jueves,SS,HT,HT,NC,
,13,Viernes,HT,FLR,SU,PHS,,13,Viernes,HT,NC,MU,MN/RP,,13,Viernes,OAPU,HS,FLR,MU,
,13,Sábado,QC,HS,MN/RP,HT,,13,Sábado,PLPU,BL,QC,PS,,13,Sábado,DS,NC,SU,QC,
,14,Lunes,QC,HS,MN/RP,HT,,14,Lunes,PLPU,BL,QC,PS,,14,Lunes,DS,NC,SU,QC,
,14,Martes,DS,PS,FL,HSPU,,14,Martes,DS,HT,FL,OAP,,14,Martes,HSPU,MN/RP,FL,OAP,
,14,Miércoles,SS,OAPU,SU,TTB,,14,Miércoles,PS,SS,HSPU,PL,,14,Miércoles,SU,L,QC,PS,
,14,Jueves,L,NC,PL,OAP,,14,Jueves,TTB,OAR,L,SU,,14,Jueves,TTB,BL,PLPU,PHS,
,14,Viernes,HT,SU,FLR,PHS,,14,Viernes,PHS,OAPU,SU,NC,,14,Viernes,HT,NC,SS,HT,
,14,Sábado,HT,FLR,SU,PHS,,14,Sábado,HT,NC,MU,MN/RP,,14,Sábado,OAPU,HS,FLR,MU,
,15,Lunes,SU,PL,HT,OAP,,15,Lunes,MU,MN/RP,HT,NC,,15,Lunes,FLR,MU,OAPU,HS,
,15,Martes,MN/RP,HT,QC,HS,,15,Martes,QC,PS,PLPU,BL,,15,Martes,SU,QC,DS,NC,
,15,Miércoles,FL,DS,HSPU,PS,,15,Miércoles,FL,OAP,DS,HT,,15,Miércoles,FL,OAP,HSPU,MN/RP,
,15,Jueves,SU,TTB,SS,OAPU,,15,Jueves,HSPU,PL,PS,SS,,15,Jueves,QC,PS,SU,L,
,15,Viernes,PL,L,OAP,NC,,15,Viernes,L,SU,TTB,OAR,,15,Viernes,PLPU,PHS,TTB,BL,
,15,Sábado,FLR,PHS,HT,SU,,15,Sábado,SU,NC,PHS,OAPU,,15,Sábado,HT,NC,SS,HT,
,16,Lunes,FLR,PHS,HT,SU,,16,Lunes,SU,NC,PHS,OAPU,,16,Lunes,HT,NC,SS,HT,
,16,Martes,SU,PL,HT,OAP,,16,Martes,MU,MN/RP,HT,NC,,16,Martes,FLR,MU,OAPU,HS,
,16,Miércoles,MN/RP,HT,QC,HS,,16,Miércoles,QC,PS,PLPU,BL,,16,Miércoles,SU,QC,DS,NC,
,16,Jueves,FL,DS,HSPU,PS,,16,Jueves,FL,OAP,DS,HT,,16,Jueves,FL,OAP,HSPU,MN/RP,
,16,Viernes,SU,TTB,SS,OAPU,,16,Viernes,HSPU,PL,PS,SS,,16,Viernes,QC,PS,SU,L,
,16,Sábado,PL,L,OAP,NC,,16,Sábado,L,SU,TTB,OAR,,16,Sábado,PLPU,PHS,TTB,BL,
,17,Lunes,PL,L,OAP,NC,,17,Lunes,L,SU,TTB,OAR,,17,Lunes,PLPU,PHS,TTB,BL,
,17,Martes,FLR,PHS,HT,SU,,17,Martes,SU,NC,PHS,OAPU,,17,Martes,HT,NC,SS,HT,
,17,Miércoles,SU,PL,HT,OAP,,17,Miércoles,MU,MN/RP,HT,NC,,17,Miércoles,FLR,MU,OAPU,HS,
,17,Jueves,MN/RP,HT,QC,HS,,17,Jueves,QC,PS,PLPU,BL,,17,Jueves,SU,QC,DS,NC,
,17,Viernes,FL,DS,HSPU,PS,,17,Viernes,FL,OAP,DS,HT,,17,Viernes,FL,OAP,HSPU,MN/RP,
,17,Sábado,SU,TTB,SS,OAPU,,17,Sábado,HSPU,PL,PS,SS,,17,Sábado,QC,PS,SU,L,
,18,Lunes,SU,TTB,SS,OAPU,,18,Lunes,HSPU,PL,PS,SS,,18,Lunes,QC,PS,SU,L,
,18,Martes,PL,L,OAP,NC,,18,Martes,L,SU,TTB,OAR,,18,Martes,PLPU,PHS,TTB,BL,
,18,Miércoles,FLR,PHS,HT,SU,,18,Miércoles,SU,NC,PHS,OAPU,,18,Miércoles,HT,NC,SS,HT,
,18,Jueves,SU,PL,HT,OAP,,18,Jueves,MU,MN/RP,HT,NC,,18,Jueves,FLR,MU,OAPU,HS,
,18,Viernes,MN/RP,HT,QC,HS,,18,Viernes,QC,PS,PLPU,BL,,18,Viernes,SU,QC,DS,NC,
,18,Sábado,FL,DS,HSPU,PS,,18,Sábado,FL,OAP,DS,HT,,18,Sábado,FL,OAP,HSPU,MN/RP,
,19,Lunes,FL,DS,HSPU,PS,,19,Lunes,FL,OAP,DS,HT,,19,Lunes,FL,OAP,HSPU,MN/RP,
,19,Martes,SU,TTB,SS,OAPU,,19,Martes,HSPU,PL,PS,SS,,19,Martes,QC,PS,SU,L,
,19,Miércoles,PL,L,OAP,NC,,19,Miércoles,L,SU,TTB,OAR,,19,Miércoles,PLPU,PHS,TTB,BL,
,19,Jueves,FLR,PHS,HT,SU,,19,Jueves,SU,NC,PHS,OAPU,,19,Jueves,HT,NC,SS,HT,
,19,Viernes,SU,PL,HT,OAP,,19,Viernes,MU,MN/RP,HT,NC,,19,Viernes,FLR,MU,OAPU,HS,
,19,Sábado,MN/RP,HT,QC,HS,,19,Sábado,QC,PS,PLPU,BL,,19,Sábado,SU,QC,DS,NC,
,20,Lunes,MN/RP,HT,QC,HS,,20,Lunes,QC,PS,PLPU,BL,,20,Lunes,SU,QC,DS,NC,
,20,Martes,FL,DS,HSPU,PS,,20,Martes,FL,OAP,DS,HT,,20,Martes,FL,OAP,HSPU,MN/RP,
,20,Miércoles,SU,TTB,SS,OAPU,,20,Miércoles,HSPU,PL,PS,SS,,20,Miércoles,QC,PS,SU,L,
,20,Jueves,PL,L,OAP,NC,,20,Jueves,L,SU,TTB,OAR,,20,Jueves,PLPU,PHS,TTB,BL,
,20,Viernes,FLR,PHS,HT,SU,,20,Viernes,SU,NC,PHS,OAPU,,20,Viernes,HT,NC,SS,HT,
,20,Sábado,SU,PL,HT,OAP,,20,Sábado,MU,MN/RP,HT,NC,,20,Sábado,FLR,MU,OAPU,HS,
,21,Lunes,SU,PL,HT,OAP,,21,Lunes,MU,MN/RP,HT,NC,,21,Lunes,FLR,MU,OAPU,HS,
,21,Martes,MN/RP,HT,QC,HS,,21,Martes,QC,PS,PLPU,BL,,21,Martes,SU,QC,DS,NC,
,21,Miércoles,FL,DS,HSPU,PS,,21,Miércoles,FL,OAP,DS,HT,,21,Miércoles,FL,OAP,HSPU,MN/RP,
,21,Jueves,SU,TTB,SS,OAPU,,21,Jueves,HSPU,PL,PS,SS,,21,Jueves,QC,PS,SU,L,
,21,Viernes,PL,L,OAP,NC,,21,Viernes,L,SU,TTB,OAR,,21,Viernes,PLPU,PHS,TTB,BL,
,21,Sábado,FLR,PHS,HT,SU,,21,Sábado,SU,NC,PHS,OAPU,,21,Sábado,HT,NC,SS,HT,
,22,Lunes,FLR,PHS,HT,SU,,22,Lunes,SU,NC,PHS,OAPU,,22,Lunes,HT,NC,SS,HT,
,22,Martes,SU,PL,HT,OAP,,22,Martes,MU,MN/RP,HT,NC,,22,Martes,FLR,MU,OAPU,HS,
,22,Miércoles,MN/RP,HT,QC,HS,,22,Miércoles,QC,PS,PLPU,BL,,22,Miércoles,SU,QC,DS,NC,
,22,Jueves,FL,DS,HSPU,PS,,22,Jueves,FL,OAP,DS,HT,,22,Jueves,FL,OAP,HSPU,MN/RP,
,22,Viernes,SU,TTB,SS,OAPU,,22,Viernes,HSPU,PL,PS,SS,,22,Viernes,QC,PS,SU,L,
,22,Sábado,PL,L,OAP,NC,,22,Sábado,L,SU,TTB,OAR,,22,Sábado,PLPU,PHS,TTB,BL,
,23,Lunes,PL,L,OAP,NC,,23,Lunes,L,SU,TTB,OAR,,23,Lunes,PLPU,PHS,TTB,BL,
,23,Martes,FLR,PHS,HT,SU,,23,Martes,SU,NC,PHS,OAPU,,23,Martes,HT,NC,SS,HT,
,23,Miércoles,SU,PL,HT,OAP,,23,Miércoles,MU,MN/RP,HT,NC,,23,Miércoles,FLR,MU,OAPU,HS,
,23,Jueves,MN/RP,HT,QC,HS,,23,Jueves,QC,PS,PLPU,BL,,23,Jueves,SU,QC,DS,NC,
,23,Viernes,FL,DS,HSPU,PS,,23,Viernes,FL,OAP,DS,HT,,23,Viernes,FL,OAP,HSPU,MN/RP,
,23,Sábado,SU,TTB,SS,OAPU,,23,Sábado,HSPU,PL,PS,SS,,23,Sábado,QC,PS,SU,L,
,24,Lunes,TTB,SS,OAPU,SU,Rotación,24,Lunes,PL,PS,SS,HSPU,Rotación,24,Lunes,PS,SU,L,QC,Rotación
,24,Martes,L,OAP,NC,PL,,24,Martes,SU,TTB,OAR,L,,24,Martes,PHS,TTB,BL,PLPU,
,24,Miércoles,PHS,HT,SU,FLR,,24,Miércoles,NC,PHS,OAPU,SU,,24,Miércoles,NC,SS,HT,HT,
,24,Jueves,PL,HT,OAP,SU,,24,Jueves,MN/RP,HT,NC,MU,,24,Jueves,MU,OAPU,HS,FLR,
,24,Viernes,HT,QC,HS,MN/RP,,24,Viernes,PS,PLPU,BL,QC,,24,Viernes,QC,DS,NC,SU,
,24,Sábado,DS,HSPU,PS,FL,,24,Sábado,OAP,DS,HT,FL,,24,Sábado,OAP,HSPU,MN/RP,FL,
,25,Lunes,DS,HSPU,PS,FL,,25,Lunes,OAP,DS,HT,FL,,25,Lunes,OAP,HSPU,MN/RP,FL,
,25,Martes,TTB,SS,OAPU,SU,,25,Martes,PL,PS,SS,HSPU,,25,Martes,PS,SU,L,QC,
,25,Miércoles,L,OAP,NC,PL,,25,Miércoles,SU,TTB,OAR,L,,25,Miércoles,PHS,TTB,BL,PLPU,
,25,Jueves,PHS,HT,SU,FLR,,25,Jueves,NC,PHS,OAPU,SU,,25,Jueves,NC,SS,HT,HT,
,25,Viernes,PL,HT,OAP,SU,,25,Viernes,MN/RP,HT,NC,MU,,25,Viernes,MU,OAPU,HS,FLR,
,25,Sábado,HT,QC,HS,MN/RP,,25,Sábado,PS,PLPU,BL,QC,,25,Sábado,QC,DS,NC,SU,
,26,Lunes,HT,QC,HS,MN/RP,,26,Lunes,PS,PLPU,BL,QC,,26,Lunes,QC,DS,NC,SU,
,26,Martes,DS,HSPU,PS,FL,,26,Martes,OAP,DS,HT,FL,,26,Martes,OAP,HSPU,MN/RP,FL,
,26,Miércoles,TTB,SS,OAPU,SU,,26,Miércoles,PL,PS,SS,HSPU,,26,Miércoles,PS,SU,L,QC,
,26,Jueves,L,OAP,NC,PL,,26,Jueves,SU,TTB,OAR,L,,26,Jueves,PHS,TTB,BL,PLPU,
,26,Viernes,PHS,HT,SU,FLR,,26,Viernes,NC,PHS,OAPU,SU,,26,Viernes,NC,SS,HT,HT,
,26,Sábado,PL,HT,OAP,SU,,26,Sábado,MN/RP,HT,NC,MU,,26,Sábado,MU,OAPU,HS,FLR,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
